"","2008","2010","2012","2014","2020","order_tab"
"(Intercept)",930.96061443709,856.555342388674,710.105221339256,998.394661436623,1087.98588229926,1
"N_kgha",8.66888502613534,7.08873270852187,11.5115110566013,13.0248229432624,9.96014180031201,1
"plotha",-124.178972024787,-171.659794456344,-128.066129501255,-101.808143513481,-117.388646070889,1
"P_kgha",15.4458991885183,9.68377871812107,0.164959816022344,7.45531280805262,7.93207022405952,1
"ncrops",-98.6476419036265,-89.2243827967069,-33.3400681138729,-106.473466478438,-74.3869346601754,1
"hhmem",17.3731374414421,17.9117352777507,9.36808914174673,14.9767985534895,12.1976034103354,1
"femhead",-83.9192710357636,-81.2748310526851,-45.6987606949413,-107.495628590781,-112.984792770218,1
"headeduc",67.0814103755847,20.8281778012249,38.8866246288722,63.407953644625,37.5449062573886,1
"arain_tot",-0.0466935745037391,0.109500185707633,0.10755816884348,0.0436517595473495,-0.0632346447197342,1
"2.5 %.(Intercept)",753.695244258625,693.671525994936,587.145852738305,843.949802723867,930.412920496762,2
"97.5 %.(Intercept)",1108.22598461556,1019.43915878241,833.064589940207,1152.83952014938,1245.55884410176,3
"2.5 %.N_kgha",6.80420081252404,5.13581138199918,9.73929418923902,10.7768451521128,7.82034995793345,2
"97.5 %.N_kgha",10.5335692397466,9.04165403504456,13.2837279239636,15.272800734412,12.0999336426906,3
"2.5 %.plotha",-160.89362199265,-204.654563629556,-152.508546274667,-133.667398076128,-148.136546438908,2
"97.5 %.plotha",-87.4643220569242,-138.665025283132,-103.623712727843,-69.9488889508336,-86.6407457028706,3
"2.5 %.P_kgha",10.7917594031257,6.32856003697542,-2.35526268563339,3.61833655034364,4.5953115721933,2
"97.5 %.P_kgha",20.100038973911,13.0389973992667,2.68518231767808,11.2922890657616,11.2688288759257,3
"2.5 %.ncrops",-139.157295770164,-131.952597051872,-67.4984257174549,-146.468331831482,-116.891107504516,2
"97.5 %.ncrops",-58.1379880370889,-46.4961685415417,0.81828948970913,-66.4786011253946,-31.8827618158348,3
"2.5 %.hhmem",3.89241438404249,6.00494946232074,0.158778516651239,2.37594607364973,1.07156660696801,2
"97.5 %.hhmem",30.8538604988416,29.8185210931806,18.5773997668422,27.5776510333293,23.3236402137027,3
"2.5 %.femhead",-172.081327459473,-165.917753374746,-117.315900928312,-199.00446515595,-199.074108231254,2
"97.5 %.femhead",4.24278538794535,3.36809126937595,25.918379538429,-15.9867920256111,-26.895477309183,3
"2.5 %.headeduc",-0.62310793841101,-43.0080861777949,-7.43916475402762,5.68643435696575,-16.8345141905368,2
"97.5 %.headeduc",134.78592868958,84.6644417802446,85.212414011772,121.129472932284,91.9243267053141,3
"2.5 %.arain_tot",-0.18387466186424,-0.0188089074173488,0.0157026072270195,-0.0536643486665446,-0.139287795613125,2
"97.5 %.arain_tot",0.0904875128567616,0.237809278832614,0.199413730459941,0.140967867761244,0.0128185061736562,3
