"","2008","2010","2012","2014","2020","order_tab"
"(Intercept)",1040.30939000354,868.075990055684,711.30459025641,990.919987320533,1071.36891298687,1
"N_kgha",-3.28712077655603,10.7063982530448,17.1145999575621,0.853875187726609,5.39562963210443,1
"arain_tot",-0.153961319169095,0.0983367017334824,0.101778171959829,0.0616265362641778,-0.0519969404938083,1
"I(N_kgha^2)",0.000605734263646816,-0.125886444020819,-0.143749071256143,0.23140434002452,0.112473633524871,1
"P_kgha",30.3008148535096,12.4587211672201,4.56868779452082,9.42735154676832,12.9029746248122,1
"I(P_kgha^2)",-0.178719407398127,-0.0187627935676665,-0.0297074161440807,-0.0214501633487389,-0.0585091530645221,1
"plotha",-124.427464071778,-169.932425315866,-128.605159710444,-102.185478737392,-117.973953921651,1
"ncrops",-100.167940136598,-88.8445284303363,-32.5395672135105,-106.249350103504,-73.8710785959812,1
"hhmem",16.6061520844145,18.1103223021224,9.41322835746116,13.990181920853,12.3562076006589,1
"femhead",-79.2658706826119,-81.9228022461126,-45.2647017666444,-109.227708605045,-113.309660249956,1
"headeduc",73.2440259551943,22.5134594888907,36.9553142318433,64.3507161222973,40.0204018229723,1
"N_kgha:arain_tot",0.0117130612519641,-0.00658220847641621,-0.00491007563285578,0.00541448776948638,0.00118682707464645,1
"arain_tot:I(N_kgha^2)",-4.84804884636755e-06,0.000163249321236407,0.000136000168830247,-0.000143632690376183,-5.97073278636191e-05,1
"2.5 %.(Intercept)",852.481665127002,700.631339824178,584.959182453787,832.599106197981,909.078387076707,2
"97.5 %.(Intercept)",1228.13711488008,1035.52064028719,837.649998059033,1149.24086844308,1233.65943889704,3
"2.5 %.N_kgha",-22.5866482167155,-15.2123143781929,-2.03690016039227,-18.9125134215622,-14.6624545664271,2
"97.5 %.N_kgha",16.0124066636035,36.6251108842826,36.2661000755164,20.6202637970154,25.4537138306359,3
"2.5 %.arain_tot",-0.305083526139142,-0.0378620531314555,0.00627945610329236,-0.0406638275169437,-0.132358090135966,2
"97.5 %.arain_tot",-0.00283911219904789,0.23453545659842,0.197276887816366,0.163916900045299,0.0283642091483492,3
"2.5 %.I(N_kgha^2)",-0.206689082806245,-0.465588497471707,-0.379794694050116,0.00486774556669983,-0.145042143935955,2
"97.5 %.I(N_kgha^2)",0.207900551333539,0.213815609430069,0.0922965515378296,0.45794093448234,0.369989410985697,3
"2.5 %.P_kgha",20.5937299763744,5.38744925565465,-0.23795351379489,1.48781763546557,5.28712112260644,2
"97.5 %.P_kgha",40.0078997306448,19.5299930787855,9.37532910283653,17.3668854580711,20.5188281270179,3
"2.5 %.I(P_kgha^2)",-0.278662656845774,-0.0631556698289823,-0.0557203586823974,-0.091451228667631,-0.136837350659851,2
"97.5 %.I(P_kgha^2)",-0.0787761579504791,0.0256300826936492,-0.00369447360576399,0.0485509019701532,0.0198190445308072,3
"2.5 %.plotha",-160.915660505001,-203.018063669126,-153.080962344673,-134.017597846794,-148.744760265652,2
"97.5 %.plotha",-87.9392676385544,-136.846786962606,-104.129357076215,-70.3533596279898,-87.2031475776495,3
"2.5 %.ncrops",-140.419953684454,-131.580909356269,-66.6659866245222,-146.170432613671,-116.381739762692,2
"97.5 %.ncrops",-59.9159265887408,-46.1081475044038,1.58685219750123,-66.3282675933364,-31.3604174292705,3
"2.5 %.hhmem",3.20365312191435,6.13055533844059,0.201806770305726,1.39711055775402,1.22248356599783,2
"97.5 %.hhmem",30.0086510469147,30.0900892658043,18.6246499446166,26.583253283952,23.48993163532,3
"2.5 %.femhead",-166.873145343938,-166.573613342695,-116.887363216179,-200.787750312129,-199.421049426604,2
"97.5 %.femhead",8.3414039787143,2.72800885046965,26.3579596828899,-17.6676668979604,-27.1982710733082,3
"2.5 %.headeduc",5.72871629563971,-41.3797097397732,-9.42106030386395,6.55666426933374,-14.5255768446363,2
"97.5 %.headeduc",140.759335614749,86.4066287175546,83.3316887675505,122.144767975261,94.5663804905809,3
"2.5 %.N_kgha:arain_tot",-0.00597479936946061,-0.0316799893786775,-0.0255643611879783,-0.0114674164172349,-0.0130611226961673,2
"97.5 %.N_kgha:arain_tot",0.0294009218733888,0.0185155724258451,0.0157442099222668,0.0222963919562077,0.0154347768454602,3
"2.5 %.arain_tot:I(N_kgha^2)",-0.000190791681952075,-0.000167925657491127,-0.000110094033946975,-0.000337612318947976,-0.00024997248832217,2
"97.5 %.arain_tot:I(N_kgha^2)",0.00018109558425934,0.000494424299963942,0.000382094371607469,5.03469381956098e-05,0.000130557832594932,3
