"","2008","2010","2012","2014","2020","order_tab"
"(Intercept)",941.288429542941,859.914708387483,707.357065549405,1008.62268657508,1089.6014292388,1
"N_kgha",8.24597577686862,4.09945050286626,11.9791806116289,6.67987393101655,6.36194606852792,1
"I(N_kgha^2)",0.00538683184716729,0.0379008273624443,-0.0112351399180898,0.0749841677159954,0.0404917569525975,1
"P_kgha",31.0608681001927,12.8891215229144,4.89835485624434,9.8096418791142,13.0907277855862,1
"I(P_kgha^2)",-0.1859635794942,-0.0225469524128116,-0.0306830509334494,-0.0196087404978811,-0.0566915520847572,1
"plotha",-125.129184890828,-170.503425133253,-128.589683612939,-101.585763821074,-117.337157442908,1
"ncrops",-98.6631399476732,-88.9218375100326,-32.9138700377056,-106.068139377913,-73.7480539210574,1
"hhmem",16.990853872112,17.8602523004403,9.31616847664838,14.3919245294828,12.2402279667968,1
"femhead",-77.9073726983741,-81.0723044195673,-44.6580966265526,-107.141454388774,-113.179198519814,1
"headeduc",64.896631045767,22.4742036636994,38.8837334441294,66.5452349385913,37.7117149091225,1
"arain_tot",-0.0589977945991925,0.108022416924138,0.10710486340824,0.0423942814248966,-0.0633817086094179,1
"2.5 %.(Intercept)",764.598975966964,696.826264021379,583.894873141602,853.937333691735,931.807741478512,2
"97.5 %.(Intercept)",1117.97788311892,1023.00315275359,830.819257957207,1163.30803945842,1247.39511699909,3
"2.5 %.N_kgha",2.99953731560501,-1.38624681652274,7.17947499083631,0.116244497733565,0.271893912311672,2
"97.5 %.N_kgha",13.4924142381322,9.58514782225526,16.7788862324215,13.2435033642995,12.4519982247442,3
"2.5 %.I(N_kgha^2)",-0.0526266282097809,-0.0305523412284938,-0.0700660873976943,0.00179538286540673,-0.0283077002346916,2
"97.5 %.I(N_kgha^2)",0.0634002919041155,0.106353995953382,0.0475958075615147,0.148172952566584,0.109291214139887,3
"2.5 %.P_kgha",21.3512290154738,5.8539445543716,0.174461745419667,1.88603567424538,5.4949615345884,2
"97.5 %.P_kgha",40.7705071849116,19.9242984914571,9.62224796706902,17.733248083983,20.686494036584,3
"2.5 %.I(P_kgha^2)",-0.286023847592542,-0.0666508485924387,-0.0565200925300031,-0.089515364076017,-0.134905238961176,2
"97.5 %.I(P_kgha^2)",-0.0859033113958588,0.0215569437668155,-0.00484600933689558,0.0502978830802549,0.021522134791662,3
"2.5 %.plotha",-161.70822539116,-203.580804965839,-153.068404062748,-133.431401993911,-148.083191852827,2
"97.5 %.plotha",-88.550144390495,-137.426045300667,-104.110963163129,-69.7401256482362,-86.5911230329899,3
"2.5 %.ncrops",-139.04226192794,-131.655626871772,-67.0430110917141,-146.042185898571,-116.255941181936,2
"97.5 %.ncrops",-58.2840179674066,-46.1880481482927,1.21527101630291,-66.0940928572558,-31.2401666601784,3
"2.5 %.hhmem",3.55930145320228,5.94906766600793,0.106411681177098,1.78426934651889,1.10839080319237,2
"97.5 %.hhmem",30.4224062910218,29.7714369348726,18.5259252721197,26.9995797124467,23.3720651304012,3
"2.5 %.femhead",-165.795464694893,-165.718413711047,-116.245879989621,-198.687108595936,-199.266807315269,2
"97.5 %.femhead",9.98071929814445,3.57380487191283,26.9296867365156,-15.5958001816121,-27.0915897243578,3
"2.5 %.headeduc",-2.62114693583926,-41.4214130498675,-7.40562872708784,8.76407817078608,-16.7370148896026,2
"97.5 %.headeduc",132.414409027373,86.3698203772664,85.1730956153466,124.326391706397,92.1604447078477,3
"2.5 %.arain_tot",-0.195844346549707,-0.0203074312267869,0.0151681055732937,-0.054905761976365,-0.139444221622571,2
"97.5 %.arain_tot",0.0778487573513223,0.236352265075063,0.199041621243186,0.139694324826158,0.0126808044037349,3
